firstname,gender,frequency,cumulative_frequency,rank,source
JAMES,male,3.318,3.318,1,US Census 1990
JOHN,male,3.271,6.589,2,US Census 1990
ROBERT,male,3.143,9.732,3,US Census 1990
MICHAEL,male,2.629,12.361,4,US Census 1990
WILLIAM,male,2.451,14.812,5,US Census 1990
DAVID,male,2.363,17.176,6,US Census 1990
RICHARD,male,1.703,18.878,7,US Census 1990
CHARLES,male,1.523,20.401,8,US Census 1990
JOSEPH,male,1.404,21.805,9,US Census 1990
THOMAS,male,1.38,23.185,10,US Census 1990
CHRISTOPHER,male,1.035,24.22,11,US Census 1990
DANIEL,male,0.974,25.194,12,US Census 1990
PAUL,male,0.948,26.142,13,US Census 1990
MARK,male,0.938,27.081,14,US Census 1990
DONALD,male,0.931,28.012,15,US Census 1990
GEORGE,male,0.927,28.939,16,US Census 1990
KENNETH,male,0.826,29.766,17,US Census 1990
STEVEN,male,0.78,30.546,18,US Census 1990
EDWARD,male,0.779,31.325,19,US Census 1990
BRIAN,male,0.736,32.061,20,US Census 1990
RONALD,male,0.725,32.787,21,US Census 1990
ANTHONY,male,0.721,33.508,22,US Census 1990
KEVIN,male,0.671,34.179,23,US Census 1990
JASON,male,0.66,34.839,24,US Census 1990
MATTHEW,male,0.657,35.496,25,US Census 1990
GARY,male,0.65,36.147,26,US Census 1990
TIMOTHY,male,0.64,36.786,27,US Census 1990
JOSE,male,0.613,37.399,28,US Census 1990
LARRY,male,0.598,37.997,29,US Census 1990
JEFFREY,male,0.591,38.588,30,US Census 1990
FRANK,male,0.581,39.169,31,US Census 1990
SCOTT,male,0.546,39.715,32,US Census 1990
ERIC,male,0.544,40.259,33,US Census 1990
STEPHEN,male,0.54,40.799,34,US Census 1990
ANDREW,male,0.537,41.335,35,US Census 1990
RAYMOND,male,0.488,41.824,36,US Census 1990
GREGORY,male,0.441,42.265,37,US Census 1990
JOSHUA,male,0.435,42.7,38,US Census 1990
JERRY,male,0.432,43.132,39,US Census 1990
DENNIS,male,0.415,43.547,40,US Census 1990
WALTER,male,0.399,43.946,41,US Census 1990
PATRICK,male,0.389,44.335,42,US Census 1990
PETER,male,0.381,44.716,43,US Census 1990
HAROLD,male,0.371,45.087,44,US Census 1990
DOUGLAS,male,0.367,45.454,45,US Census 1990
HENRY,male,0.365,45.819,46,US Census 1990
CARL,male,0.346,46.165,47,US Census 1990
ARTHUR,male,0.335,46.5,48,US Census 1990
RYAN,male,0.328,46.828,49,US Census 1990
ROGER,male,0.322,47.15,50,US Census 1990
JOE,male,0.321,47.471,51,US Census 1990
JUAN,male,0.316,47.786,52,US Census 1990
JACK,male,0.315,48.102,53,US Census 1990
ALBERT,male,0.314,48.415,54,US Census 1990
JONATHAN,male,0.313,48.729,55,US Census 1990
JUSTIN,male,0.311,49.04,56,US Census 1990
TERRY,male,0.311,49.351,57,US Census 1990
GERALD,male,0.309,49.66,58,US Census 1990
KEITH,male,0.308,49.968,59,US Census 1990
SAMUEL,male,0.306,50.274,60,US Census 1990
WILLIE,male,0.302,50.576,61,US Census 1990
RALPH,male,0.282,50.859,62,US Census 1990
LAWRENCE,male,0.282,51.141,63,US Census 1990
NICHOLAS,male,0.275,51.415,64,US Census 1990
ROY,male,0.273,51.688,65,US Census 1990
BENJAMIN,male,0.27,51.958,66,US Census 1990
BRUCE,male,0.263,52.221,67,US Census 1990
BRANDON,male,0.26,52.48,68,US Census 1990
ADAM,male,0.259,52.74,69,US Census 1990
HARRY,male,0.251,52.991,70,US Census 1990
FRED,male,0.251,53.241,71,US Census 1990
WAYNE,male,0.249,53.49,72,US Census 1990
BILLY,male,0.248,53.738,73,US Census 1990
STEVE,male,0.246,53.984,74,US Census 1990
LOUIS,male,0.243,54.227,75,US Census 1990
JEREMY,male,0.242,54.469,76,US Census 1990
AARON,male,0.24,54.71,77,US Census 1990
RANDY,male,0.232,54.942,78,US Census 1990
HOWARD,male,0.23,55.172,79,US Census 1990
EUGENE,male,0.23,55.402,80,US Census 1990
CARLOS,male,0.229,55.63,81,US Census 1990
RUSSELL,male,0.224,55.854,82,US Census 1990
BOBBY,male,0.223,56.077,83,US Census 1990
VICTOR,male,0.222,56.299,84,US Census 1990
MARTIN,male,0.216,56.515,85,US Census 1990
ERNEST,male,0.215,56.73,86,US Census 1990
PHILLIP,male,0.213,56.942,87,US Census 1990
TODD,male,0.213,57.155,88,US Census 1990
JESSE,male,0.209,57.364,89,US Census 1990
CRAIG,male,0.206,57.57,90,US Census 1990
ALAN,male,0.204,57.774,91,US Census 1990
SHAWN,male,0.2,57.973,92,US Census 1990
CLARENCE,male,0.197,58.17,93,US Census 1990
SEAN,male,0.197,58.368,94,US Census 1990
PHILIP,male,0.197,58.565,95,US Census 1990
CHRIS,male,0.197,58.761,96,US Census 1990
JOHNNY,male,0.195,58.957,97,US Census 1990
EARL,male,0.193,59.149,98,US Census 1990
JIMMY,male,0.191,59.34,99,US Census 1990
ANTONIO,male,0.19,59.531,100,US Census 1990
DANNY,male,0.19,59.72,101,US Census 1990
BRYAN,male,0.19,59.91,102,US Census 1990
TONY,male,0.19,60.1,103,US Census 1990
LUIS,male,0.189,60.289,104,US Census 1990
MIKE,male,0.189,60.478,105,US Census 1990
STANLEY,male,0.186,60.665,106,US Census 1990
LEONARD,male,0.186,60.85,107,US Census 1990
NATHAN,male,0.185,61.035,108,US Census 1990
DALE,male,0.184,61.219,109,US Census 1990
MANUEL,male,0.181,61.4,110,US Census 1990
RODNEY,male,0.18,61.581,111,US Census 1990
CURTIS,male,0.18,61.761,112,US Census 1990
NORMAN,male,0.177,61.938,113,US Census 1990
ALLEN,male,0.174,62.112,114,US Census 1990
MARVIN,male,0.171,62.283,115,US Census 1990
VINCENT,male,0.168,62.45,116,US Census 1990
GLENN,male,0.167,62.617,117,US Census 1990
JEFFERY,male,0.166,62.783,118,US Census 1990
TRAVIS,male,0.166,62.949,119,US Census 1990
JEFF,male,0.166,63.114,120,US Census 1990
CHAD,male,0.165,63.279,121,US Census 1990
JACOB,male,0.165,63.444,122,US Census 1990
LEE,male,0.162,63.606,123,US Census 1990
MELVIN,male,0.162,63.768,124,US Census 1990
ALFRED,male,0.162,63.93,125,US Census 1990
KYLE,male,0.16,64.09,126,US Census 1990
FRANCIS,male,0.16,64.25,127,US Census 1990
BRADLEY,male,0.159,64.409,128,US Census 1990
JESUS,male,0.155,64.564,129,US Census 1990
HERBERT,male,0.155,64.719,130,US Census 1990
FREDERICK,male,0.154,64.873,131,US Census 1990
RAY,male,0.153,65.026,132,US Census 1990
JOEL,male,0.152,65.177,133,US Census 1990
EDWIN,male,0.148,65.326,134,US Census 1990
DON,male,0.145,65.471,135,US Census 1990
EDDIE,male,0.144,65.615,136,US Census 1990
RICKY,male,0.141,65.756,137,US Census 1990
TROY,male,0.138,65.895,138,US Census 1990
RANDALL,male,0.138,66.032,139,US Census 1990
BARRY,male,0.134,66.167,140,US Census 1990
ALEXANDER,male,0.132,66.299,141,US Census 1990
BERNARD,male,0.127,66.427,142,US Census 1990
MARIO,male,0.125,66.552,143,US Census 1990
LEROY,male,0.125,66.676,144,US Census 1990
FRANCISCO,male,0.124,66.801,145,US Census 1990
MARCUS,male,0.124,66.925,146,US Census 1990
MICHEAL,male,0.123,67.048,147,US Census 1990
THEODORE,male,0.123,67.171,148,US Census 1990
CLIFFORD,male,0.123,67.293,149,US Census 1990
MIGUEL,male,0.122,67.415,150,US Census 1990
OSCAR,male,0.122,67.538,151,US Census 1990
JAY,male,0.118,67.656,152,US Census 1990
JIM,male,0.118,67.773,153,US Census 1990
TOM,male,0.117,67.89,154,US Census 1990
CALVIN,male,0.115,68.006,155,US Census 1990
ALEX,male,0.115,68.12,156,US Census 1990
JON,male,0.115,68.235,157,US Census 1990
RONNIE,male,0.113,68.348,158,US Census 1990
BILL,male,0.112,68.461,159,US Census 1990
LLOYD,male,0.112,68.573,160,US Census 1990
TOMMY,male,0.112,68.685,161,US Census 1990
LEON,male,0.112,68.797,162,US Census 1990
DEREK,male,0.112,68.908,163,US Census 1990
WARREN,male,0.11,69.018,164,US Census 1990
DARRELL,male,0.108,69.126,165,US Census 1990
JEROME,male,0.108,69.234,166,US Census 1990
FLOYD,male,0.107,69.34,167,US Census 1990
LEO,male,0.106,69.446,168,US Census 1990
ALVIN,male,0.105,69.551,169,US Census 1990
TIM,male,0.104,69.656,170,US Census 1990
WESLEY,male,0.104,69.76,171,US Census 1990
GORDON,male,0.104,69.864,172,US Census 1990
DEAN,male,0.104,69.968,173,US Census 1990
GREG,male,0.104,70.071,174,US Census 1990
JORGE,male,0.104,70.175,175,US Census 1990
DUSTIN,male,0.103,70.278,176,US Census 1990
PEDRO,male,0.103,70.381,177,US Census 1990
DERRICK,male,0.103,70.484,178,US Census 1990
DAN,male,0.101,70.585,179,US Census 1990
LEWIS,male,0.099,70.684,180,US Census 1990
ZACHARY,male,0.099,70.782,181,US Census 1990
COREY,male,0.098,70.88,182,US Census 1990
HERMAN,male,0.097,70.977,183,US Census 1990
MAURICE,male,0.097,71.074,184,US Census 1990
VERNON,male,0.097,71.171,185,US Census 1990
ROBERTO,male,0.097,71.268,186,US Census 1990
CLYDE,male,0.095,71.363,187,US Census 1990
GLEN,male,0.094,71.457,188,US Census 1990
HECTOR,male,0.094,71.551,189,US Census 1990
SHANE,male,0.093,71.645,190,US Census 1990
RICARDO,male,0.093,71.738,191,US Census 1990
SAM,male,0.092,71.83,192,US Census 1990
RICK,male,0.091,71.921,193,US Census 1990
LESTER,male,0.091,72.011,194,US Census 1990
BRENT,male,0.09,72.102,195,US Census 1990
RAMON,male,0.09,72.192,196,US Census 1990
CHARLIE,male,0.09,72.281,197,US Census 1990
TYLER,male,0.089,72.371,198,US Census 1990
GILBERT,male,0.089,72.46,199,US Census 1990
GENE,male,0.087,72.547,200,US Census 1990
MARC,male,0.087,72.634,201,US Census 1990
REGINALD,male,0.084,72.717,202,US Census 1990
RUBEN,male,0.082,72.8,203,US Census 1990
BRETT,male,0.082,72.882,204,US Census 1990
ANGEL,male,0.082,72.964,205,US Census 1990
NATHANIEL,male,0.081,73.045,206,US Census 1990
RAFAEL,male,0.081,73.126,207,US Census 1990
LESLIE,male,0.081,73.207,208,US Census 1990
EDGAR,male,0.08,73.287,209,US Census 1990
MILTON,male,0.08,73.367,210,US Census 1990
RAUL,male,0.079,73.446,211,US Census 1990
BEN,male,0.078,73.524,212,US Census 1990
CHESTER,male,0.078,73.602,213,US Census 1990
CECIL,male,0.078,73.68,214,US Census 1990
DUANE,male,0.077,73.757,215,US Census 1990
FRANKLIN,male,0.077,73.834,216,US Census 1990
ANDRE,male,0.076,73.91,217,US Census 1990
ELMER,male,0.074,73.984,218,US Census 1990
BRAD,male,0.073,74.057,219,US Census 1990
GABRIEL,male,0.073,74.13,220,US Census 1990
RON,male,0.072,74.202,221,US Census 1990
MITCHELL,male,0.072,74.274,222,US Census 1990
ROLAND,male,0.072,74.347,223,US Census 1990
ARNOLD,male,0.072,74.419,224,US Census 1990
HARVEY,male,0.072,74.491,225,US Census 1990
JARED,male,0.071,74.562,226,US Census 1990
ADRIAN,male,0.069,74.631,227,US Census 1990
KARL,male,0.069,74.699,228,US Census 1990
CORY,male,0.068,74.767,229,US Census 1990
CLAUDE,male,0.068,74.835,230,US Census 1990
ERIK,male,0.068,74.903,231,US Census 1990
DARRYL,male,0.067,74.97,232,US Census 1990
JAMIE,male,0.066,75.037,233,US Census 1990
NEIL,male,0.066,75.102,234,US Census 1990
JESSIE,male,0.065,75.168,235,US Census 1990
CHRISTIAN,male,0.065,75.233,236,US Census 1990
JAVIER,male,0.065,75.297,237,US Census 1990
FERNANDO,male,0.065,75.362,238,US Census 1990
CLINTON,male,0.065,75.427,239,US Census 1990
TED,male,0.064,75.491,240,US Census 1990
MATHEW,male,0.064,75.555,241,US Census 1990
TYRONE,male,0.064,75.619,242,US Census 1990
DARREN,male,0.064,75.683,243,US Census 1990
LONNIE,male,0.064,75.746,244,US Census 1990
LANCE,male,0.063,75.81,245,US Census 1990
CODY,male,0.063,75.873,246,US Census 1990
JULIO,male,0.063,75.936,247,US Census 1990
KELLY,male,0.063,75.998,248,US Census 1990
KURT,male,0.062,76.061,249,US Census 1990
ALLAN,male,0.061,76.122,250,US Census 1990
NELSON,male,0.061,76.182,251,US Census 1990
GUY,male,0.06,76.243,252,US Census 1990
CLAYTON,male,0.06,76.303,253,US Census 1990
HUGH,male,0.06,76.363,254,US Census 1990
MAX,male,0.059,76.421,255,US Census 1990
DWAYNE,male,0.059,76.48,256,US Census 1990
DWIGHT,male,0.058,76.538,257,US Census 1990
ARMANDO,male,0.058,76.596,258,US Census 1990
FELIX,male,0.058,76.654,259,US Census 1990
JIMMIE,male,0.058,76.711,260,US Census 1990
EVERETT,male,0.057,76.768,261,US Census 1990
JORDAN,male,0.056,76.824,262,US Census 1990
IAN,male,0.056,76.88,263,US Census 1990
WALLACE,male,0.056,76.936,264,US Census 1990
KEN,male,0.055,76.991,265,US Census 1990
BOB,male,0.055,77.047,266,US Census 1990
JAIME,male,0.055,77.102,267,US Census 1990
CASEY,male,0.054,77.156,268,US Census 1990
ALFREDO,male,0.054,77.21,269,US Census 1990
ALBERTO,male,0.053,77.263,270,US Census 1990
DAVE,male,0.053,77.316,271,US Census 1990
IVAN,male,0.053,77.369,272,US Census 1990
JOHNNIE,male,0.052,77.421,273,US Census 1990
SIDNEY,male,0.052,77.474,274,US Census 1990
BYRON,male,0.052,77.526,275,US Census 1990
JULIAN,male,0.052,77.578,276,US Census 1990
ISAAC,male,0.051,77.629,277,US Census 1990
MORRIS,male,0.051,77.68,278,US Census 1990
CLIFTON,male,0.05,77.73,279,US Census 1990
WILLARD,male,0.05,77.78,280,US Census 1990
DARYL,male,0.05,77.831,281,US Census 1990
ROSS,male,0.05,77.88,282,US Census 1990
VIRGIL,male,0.049,77.929,283,US Census 1990
ANDY,male,0.049,77.979,284,US Census 1990
MARSHALL,male,0.049,78.028,285,US Census 1990
SALVADOR,male,0.049,78.077,286,US Census 1990
PERRY,male,0.049,78.126,287,US Census 1990
KIRK,male,0.049,78.175,288,US Census 1990
SERGIO,male,0.049,78.224,289,US Census 1990
MARION,male,0.048,78.272,290,US Census 1990
TRACY,male,0.048,78.32,291,US Census 1990
SETH,male,0.048,78.368,292,US Census 1990
KENT,male,0.048,78.416,293,US Census 1990
TERRANCE,male,0.048,78.464,294,US Census 1990
RENE,male,0.048,78.512,295,US Census 1990
EDUARDO,male,0.047,78.559,296,US Census 1990
TERRENCE,male,0.047,78.606,297,US Census 1990
ENRIQUE,male,0.046,78.652,298,US Census 1990
FREDDIE,male,0.046,78.698,299,US Census 1990
WADE,male,0.045,78.743,300,US Census 1990
AUSTIN,male,0.044,78.786,301,US Census 1990
STUART,male,0.044,78.83,302,US Census 1990
FREDRICK,male,0.043,78.873,303,US Census 1990
ARTURO,male,0.043,78.917,304,US Census 1990
ALEJANDRO,male,0.043,78.96,305,US Census 1990
JACKIE,male,0.043,79.002,306,US Census 1990
JOEY,male,0.043,79.045,307,US Census 1990
NICK,male,0.043,79.088,308,US Census 1990
LUTHER,male,0.043,79.13,309,US Census 1990
WENDELL,male,0.042,79.172,310,US Census 1990
JEREMIAH,male,0.042,79.215,311,US Census 1990
EVAN,male,0.042,79.257,312,US Census 1990
JULIUS,male,0.042,79.298,313,US Census 1990
DANA,male,0.042,79.34,314,US Census 1990
DONNIE,male,0.041,79.381,315,US Census 1990
OTIS,male,0.041,79.422,316,US Census 1990
SHANNON,male,0.04,79.462,317,US Census 1990
TREVOR,male,0.04,79.503,318,US Census 1990
OLIVER,male,0.04,79.543,319,US Census 1990
LUKE,male,0.04,79.583,320,US Census 1990
HOMER,male,0.04,79.623,321,US Census 1990
GERARD,male,0.04,79.663,322,US Census 1990
DOUG,male,0.04,79.703,323,US Census 1990
KENNY,male,0.039,79.742,324,US Census 1990
HUBERT,male,0.039,79.782,325,US Census 1990
ANGELO,male,0.039,79.821,326,US Census 1990
SHAUN,male,0.039,79.859,327,US Census 1990
LYLE,male,0.038,79.898,328,US Census 1990
MATT,male,0.038,79.936,329,US Census 1990
LYNN,male,0.038,79.974,330,US Census 1990
ALFONSO,male,0.038,80.012,331,US Census 1990
ORLANDO,male,0.037,80.049,332,US Census 1990
REX,male,0.037,80.086,333,US Census 1990
CARLTON,male,0.037,80.123,334,US Census 1990
ERNESTO,male,0.037,80.16,335,US Census 1990
CAMERON,male,0.037,80.197,336,US Census 1990
NEAL,male,0.037,80.233,337,US Census 1990
PABLO,male,0.036,80.27,338,US Census 1990
LORENZO,male,0.036,80.306,339,US Census 1990
OMAR,male,0.036,80.342,340,US Census 1990
WILBUR,male,0.036,80.378,341,US Census 1990
BLAKE,male,0.036,80.414,342,US Census 1990
GRANT,male,0.036,80.45,343,US Census 1990
HORACE,male,0.036,80.486,344,US Census 1990
RODERICK,male,0.036,80.521,345,US Census 1990
KERRY,male,0.036,80.557,346,US Census 1990
ABRAHAM,male,0.035,80.592,347,US Census 1990
WILLIS,male,0.035,80.627,348,US Census 1990
RICKEY,male,0.035,80.662,349,US Census 1990
JEAN,male,0.035,80.696,350,US Census 1990
IRA,male,0.035,80.731,351,US Census 1990
ANDRES,male,0.034,80.766,352,US Census 1990
CESAR,male,0.034,80.8,353,US Census 1990
JOHNATHAN,male,0.034,80.834,354,US Census 1990
MALCOLM,male,0.034,80.868,355,US Census 1990
RUDOLPH,male,0.034,80.902,356,US Census 1990
DAMON,male,0.034,80.936,357,US Census 1990
KELVIN,male,0.034,80.97,358,US Census 1990
RUDY,male,0.034,81.004,359,US Census 1990
PRESTON,male,0.034,81.037,360,US Census 1990
ALTON,male,0.033,81.071,361,US Census 1990
ARCHIE,male,0.033,81.104,362,US Census 1990
MARCO,male,0.033,81.137,363,US Census 1990
WM,male,0.033,81.17,364,US Census 1990
PETE,male,0.032,81.202,365,US Census 1990
RANDOLPH,male,0.032,81.234,366,US Census 1990
GARRY,male,0.032,81.267,367,US Census 1990
GEOFFREY,male,0.032,81.299,368,US Census 1990
JONATHON,male,0.032,81.331,369,US Census 1990
FELIPE,male,0.032,81.363,370,US Census 1990
BENNIE,male,0.032,81.395,371,US Census 1990
GERARDO,male,0.032,81.427,372,US Census 1990
ED,male,0.032,81.458,373,US Census 1990
DOMINIC,male,0.032,81.49,374,US Census 1990
ROBIN,male,0.032,81.522,375,US Census 1990
LOREN,male,0.032,81.553,376,US Census 1990
DELBERT,male,0.031,81.585,377,US Census 1990
COLIN,male,0.031,81.616,378,US Census 1990
GUILLERMO,male,0.031,81.647,379,US Census 1990
EARNEST,male,0.031,81.678,380,US Census 1990
LUCAS,male,0.031,81.709,381,US Census 1990
BENNY,male,0.03,81.739,382,US Census 1990
NOEL,male,0.03,81.769,383,US Census 1990
SPENCER,male,0.03,81.799,384,US Census 1990
RODOLFO,male,0.03,81.828,385,US Census 1990
MYRON,male,0.03,81.858,386,US Census 1990
EDMUND,male,0.03,81.887,387,US Census 1990
GARRETT,male,0.029,81.917,388,US Census 1990
SALVATORE,male,0.029,81.946,389,US Census 1990
CEDRIC,male,0.029,81.975,390,US Census 1990
LOWELL,male,0.029,82.004,391,US Census 1990
GREGG,male,0.029,82.032,392,US Census 1990
SHERMAN,male,0.028,82.061,393,US Census 1990
WILSON,male,0.028,82.089,394,US Census 1990
DEVIN,male,0.028,82.117,395,US Census 1990
SYLVESTER,male,0.028,82.145,396,US Census 1990
KIM,male,0.028,82.173,397,US Census 1990
ROOSEVELT,male,0.028,82.201,398,US Census 1990
ISRAEL,male,0.028,82.229,399,US Census 1990
JERMAINE,male,0.028,82.257,400,US Census 1990
FORREST,male,0.027,82.284,401,US Census 1990
WILBERT,male,0.027,82.31,402,US Census 1990
LELAND,male,0.027,82.337,403,US Census 1990
SIMON,male,0.026,82.363,404,US Census 1990
GUADALUPE,male,0.026,82.39,405,US Census 1990
CLARK,male,0.026,82.416,406,US Census 1990
IRVING,male,0.026,82.442,407,US Census 1990
CARROLL,male,0.026,82.468,408,US Census 1990
BRYANT,male,0.026,82.494,409,US Census 1990
OWEN,male,0.026,82.519,410,US Census 1990
